,name,longitude,latitude
141,10th & Main,-123.101961,49.262141
142,Georgia & Homer,-123.115271,49.280787
143,York & Yew,-123.155421,49.271741
144,Ontario & Seawall,-123.104207,49.271721
145,10th & Granville,-123.138921,49.262598
146,15th & Knight,-123.075426,49.256496
147,Ontario & 23rd,-123.104991,49.249722
148,Dunbar & Broadway,-123.18373,49.264579
149,Carrall & Hastings,-123.104419,49.28117
150,8th & Commercial,-123.070521,49.263242
151,Charleson Park,-123.127698,49.267628
152,Beach & Hornby,-123.132585,49.275295
153,Princess & Union,-123.091654,49.277615
154,3rd & Quebec,-123.103168,49.268216
155,Stanley Park - Second Beach South,-123.148808,49.294318
156,6th & Carolina,-123.090785,49.265213
157,UBC Bookstore,-123.250139,49.265207
158,Balaclava & Broadway,-123.173926,49.264483
159,Expo & Carrall,-123.105664,49.278004
160,Beach & Seymour,-123.129935,49.273568
161,27th & Main,-123.101549,49.247204
162,Stanley Park - Second Beach North,-123.150433,49.29534
163,Keith & 6th,-123.079481,49.265005
164,Jericho Beach,-123.191133,49.271221
165,Point Grey & Bayswater,-123.170661,49.271044
166,7th & Woodland,-123.073853,49.264251
167,Aquatic Centre,-123.136972,49.27821
168,Georgia & Thurlow,-123.124066,49.285953
169,Cordova & Granville,-123.1125432,49.2856698
170,Vanier Park,-123.142564,49.275717
171,Trafalgar & Broadway,-123.164725,49.264326
172,Napier & Commercial,-123.069323,49.274881
173,7th & Laurel,-123.123864,49.265071
174,Science World,-123.102232,49.273691
175,Pender & Victoria,-123.065859,49.280197
176,Cypress & 16th,-123.148531,49.25741
177,Spyglass & Seawall,-123.115103,49.270877
178,Keefer & Hawks,-123.087528,49.279235
179,29th & Cambie,-123.116098,49.245135
180,Victoria & 10th,-123.066009,49.261188
181,Commercial & Adanac,-123.070427,49.277436
182,Columbia & 14th,-123.109596,49.258902
183,Dunsmuir & Richards,-123.114101,49.282214
184,Campbell & Hastings,-123.084746,49.280852
185,Franklin & Nanaimo,-123.056909,49.282087
186,Charles & Commercial,-123.069892,49.273103
187,Beatty & Nelson,-123.116963,49.275679
188,Trimble & 8th,-123.20596,49.2658
189,David Lam Park,-123.126006,49.270905
190,Burrard & 4th,-123.145782,49.267859
191,Cypress & Cornwall,-123.147744,49.272827
192,Keefer & Princess,-123.091241,49.279369
193,Bidwell & Burnaby,-123.141809,49.28526
194,11th & Kingsway,-123.097571,49.261122
195,Pender & Burrard,-123.118551,49.287097
196,Columbia & 1st,-123.109623,49.269969
197,Melville & Bute,-123.12395,49.287782
198,Anderson & 2nd,-123.13782,49.269361
199,5th & Main,-123.100324,49.266456
200,Alexander & Dunlevy,-123.095097,49.284062
201,13th & St George,-123.092797,49.258817
202,Commercial & Pandora,-123.070443,49.283236
203,Grandview & Commercial,-123.069892,49.263746
204,Expo & Smithe,-123.114496,49.276115
205,Cypress & 14th,-123.148268,49.25919
206,Brock Commons,-123.25279,49.269172
207,Beach & Broughton,-123.139108,49.281301
208,Arbutus Greenway & 14th,-123.152591,49.258924
209,Alexander & Main,-123.099917,49.284157
210,Hornby & Drake,-123.13,49.277178
211,Highbury & 8th,-123.187738,49.265442
212,Pharmaceutical Sciences,-123.2431,49.26262
213,Haro & Denman,-123.13625,49.290587
214,Windsor & 14th,-123.083366,49.257985
215,Prince Edward & 16th,-123.096579,49.256694
216,Cardero & Davie,-123.1384,49.285512
217,Stamps Landing,-123.11813,49.26893
218,Marinaside & Davie,-123.118016,49.273471
219,Adanac & McLean,-123.073653,49.277665
220,Bute & Davie,-123.133045,49.282055
221,Victoria & 4th,-123.065925,49.266725
222,Heather & 29th,-123.120496,49.245535
223,McNicoll & Arbutus,-123.150592,49.276292
224,IK Barber Learning Centre,-123.252261,49.267561
225,Granville Island,-123.135025,49.27029
226,6th & Prince Edward,-123.095577,49.265242
227,Broughton & Davie,-123.136133,49.283749
228,Adanac & Lakewood,-123.061429,49.27751
229,Cypress & 10th,-123.148109,49.262944
230,Thunderbird Parkade,-123.241924,49.261655
231,Burrard Station (Melville & Dunsmuir),-123.12105,49.285871
232,22nd & Cambie,-123.115637,49.251358
233,Glen & Broadway,-123.081459,49.262242
234,Stanley Park - Totem Poles,-123.121176,49.298657
235,Davie & Beach,-123.142139,49.287528
236,Pender & Gore,-123.097052,49.280284
237,Richards & Davie,-123.124388,49.275683
238,Pender & Commercial,-123.070068,49.280332
239,18th & Cambie,-123.114785,49.254818
240,2nd & Commercial,-123.069908,49.268616
241,Wesbrook Village - Berton & Shrum,-123.23621,49.25478
242,Chilco & Robson,-123.138563,49.293257
243,Keefer & Columbia,-123.101822,49.279342
244,Rogers Tower,-123.11818,49.288682
245,Woodland & Graveley,-123.073562,49.270684
246,Cardero & Bayshore,-123.129158,49.291597
247,Nelson & Denman,-123.138407369468,49.2890705989865
248,8th & Fraser,-123.088837,49.263382
249,Balaclava & 6th,-123.173849,49.266924
250,Cambie & Water,-123.108662,49.284605
251,Helmcken & Burrard,-123.127478,49.279938
252,Hornby & Pender,-123.116624,49.28602
253,7th & Heather,-123.119425,49.265089
254,Union & Dunlevy,-123.09583,49.277595
255,Richards & Helmcken,-123.122589,49.277141
256,Keefer & Abbott,-123.10802,49.279821
257,8th & Prince Edward,-123.09568,49.263518
